,product_details,cost,barcode,discount,in_stock,wholesale_cost
251,Meera,2,8902979023092,0,25,11
252,Head & shoulder,2,4987176230768,0,25,11
253,Kotthas mustard mix,10,5670129016975,0,25,11
254,50p,<NA>,8902979000710,0,25,11
255,EXO Bactoscrub,10,8902102164036,0,25,11
256,Kotthas menthi,10,5670129016975,0,25,11
257,Vasmol Ayurprash,20,8901247578883,0,25,11
258,Kotthas pepper,10,5670129016975,0,25,11
259,Ponds bright beauty,10,8901030877032,0,25,11
260,Kotthas cloves,10,5670129016975,0,25,11
261,Vim scrub easy,10,8901030885556,0,25,11
262,MTR biriyani masala,12,8901042970967,0,25,11
263,MTR lemon rice,15,8901042969480,0,25,11
264,Indica easy shmpo 18ml,30,8902979027137,0,25,11
265,Godrej rich creme,37,8901023019876,0,25,11
266,MTR tmtorice pwdr 25g,15,8901042969503,0,25,11
267,MTR puliogare pwdr27g,12,8901042970493,0,25,11
268,Horlicks20g,5,8901030824128,0,25,11
269,Boost17g,5,8901030824227,0,25,11
270,Everyday15g,10,8901058003802,0,25,11
271,Comfort,4,8901030865909,0,25,11
272,Laser ready razor,10,8901106111480,0,25,11
273,Fevikwik450mg,5,8901860010005,0,25,11
274,Twinz mangocandy17g,5,8906071888726,0,25,11
275,Moov4g,15,8901177105203,0,25,11
276,Hit 1N,16,8901157028003,0,25,11
277,Poppy seeds 25g,90,5670129016180,0,25,11
278,Clinic plus,1,8901030950933,0,25,11
279,Dairy milk fruit&nut,45,7622201150181,0,25,11
280,Dairy milk,10,8901233030548,0,25,11
281,Dairy milk 23g,20,7622202398698,0,25,11
282,KitKat,10,8901058005233,0,25,11
283,Perk,5,7622201758639,0,25,11
284,Bingo tomato chips,5,8901725015220,0,25,11
285,Sunfeast bounce,5,8901725015480,0,25,11
286,Bingo tomato &chilli,5,8901725015268,0,25,11
287,Colgate junior,15,8901314542045,0,25,11
288,Sensitive+Ajay,40,8908003630083,0,25,11
289,Colgate super flexi,20,8901314200044,0,25,11
290,Colgate slim soft,170,8901314517999,0,25,11
291,Colgate gentle,60,8901314544964,0,25,11
292,Colgate zig zag,30,8901314507327,0,25,11
293,Fantastic,5,8901725009533,0,25,11
294,Pepsodent 6in1,20,8901030961373,0,25,11
295,Colgate extra,20,8901390307316,0,25,11
296,7hills cleaning acid500ml,65,8901725009533,0,25,11
297,Ajay flexo jr,12,8908003630106,0,25,11
298,Exo safai,10,8902102164173,0,25,11
299,Lyxtar flr_clnr 1000ml,80,9199566279126,0,25,11
300,Freedom sflwr oil5L,720,8906035030239,0,25,11
301,Laser stainless blades,12,8901106101016,0,25,11
302,Natraj 1L,146,8906061280110,0,25,11
303,Batteries,17,8901691021195,0,25,11
304,Freedom 1L,139,8906035030055,0,25,11
305,Ruchi gold 1L,125,8906032010012,0,25,11
306,Natraj 500ml,74,8906061280134,0,25,11
307,Ghee batti30N,139,8943078553103,0,25,11
